Name,Rating
Coup de Grâce,2
Decorated Skull,2
Decoy,2
Cunning,1
Stir the Pot,1
Eavesdrop,1
Crack Shot,1
Hit and Run,1
Vamp,1
Damning Testimony,1
"""Hit me!""",1
"Bianca ""Die Katz""",1
Robert Castaigne,1
"""Let God sort them out...""",1
Daredevil,1
Calculated Risk,1
Stealth,1
Diabolical Luck,1
Bum's Rush,1
Fake Credentials,1
"Joey ""The Rat"" Vigil",1
String Along,0
Colt Vest Pocket,0
Lightfooted,0
Followed,0
"""You owe me one!""",0
Scrimshaw Charm,0
Quick Getaway,0
Knuckleduster,0
Intimidation,0
False Surrender,0
Henry Wan,0
Blackmail File,0
"""I'll Pay You Back!""",0
Dark Ritual,0
