card_code,name,faction_code,xp,main_decks_including_once,main_deck_occurances,side_decks_including_once,side_deck_occurances
01054,Leo De Luca (1),rogue,1,177,257,74,114
04033,Improvised Weapon,survivor,0,203,362,4,7
01589,Guts,neutral,0,196,362,4,5
07034,Keep Faith,survivor,0,188,355,8,12
60407,Azure Flame,mystic,0,211,356,7,10
03118,Reckless Assault,neutral,0,202,361,2,4
01044,Switchblade,rogue,0,244,349,7,12
04030,The Chthonian Stone,mystic,0,219,349,8,11
60117,One-Two Punch,guardian,0,190,352,4,5
02010,Jenny's Twin .45s,neutral,0,357,357,0,0
02011,Searching for Izzie,neutral,0,357,357,0,0
05316,Occult Lexicon,seeker,0,332,332,19,19
01590,Perception,neutral,0,183,342,4,6
02109,Contraband,rogue,0,207,327,11,17
03021,True Grit,guardian,0,206,331,7,10
06029,Open Gate,mystic,0,111,320,9,19
05151,Alice Luxley,guardian,0,190,324,12,15
01038,Barricade,seeker,0,262,336,2,3
04155,Hatchet Man,rogue,0,187,334,2,4
04232,Slip Away,rogue,0,190,321,7,13
07029,Sword Cane,mystic,0,187,311,15,21
07196,Unrelenting (1),survivor,1,117,208,72,124
05231,Knowledge is Power,seeker,0,151,280,28,50
01078,Cunning Distraction,survivor,0,258,319,6,10
03117,Desperate Search,neutral,0,183,325,2,3
06034,Fortuitous Discovery,survivor,0,102,305,8,22
01014,Wendy's Amulet,neutral,0,326,326,1,1
01015,Abandoned and Alone,neutral,0,326,326,1,1
04021,Dr. Elli Horowitz,seeker,0,180,319,7,7
06024,Crystallizer of Dreams,rogue,0,181,304,14,20
01012,Heirloom of Hyperborea,neutral,0,323,323,0,0
01013,Dark Memory,neutral,0,323,323,0,0
04149,Second Wind,guardian,0,182,318,4,4
05029,Money Talks,rogue,0,168,310,6,10
60505,.18 Derringer,survivor,0,173,306,8,13
60411,Crystal Pendulum,mystic,0,182,306,9,11
05157,Wither,mystic,0,183,300,10,17
01587,Flashlight,neutral,0,163,309,4,7
05021,Delay the Inevitable,guardian,0,173,304,7,11
60309,Lonnie Ritter,rogue,0,175,298,10,16
05119,Grisly Totem,survivor,0,184,306,4,7
05276,Studious (3),seeker,3,97,165,85,148
03195,Pickpocketing (2),rogue,2,118,198,66,115
60317,Nimble,rogue,0,190,297,12,16
01026,Extra Ammunition (1),guardian,1,152,234,45,78
08047,Scout Ahead,rogue,0,196,295,11,16
60316,Sneak By,rogue,0,165,294,10,16
09022,Runic Axe,guardian,0,153,297,7,11
05033,Eldritch Inspiration,mystic,0,164,301,5,7
60111,Clean Them Out,guardian,0,164,299,6,8
09068,Kicking the Hornet's Nest,rogue,0,170,293,9,14
06166,Brute Force (1),survivor,1,105,194,62,113
08090,Brand of Cthugha (1),guardian,1,106,172,79,134
08116,Talisman of Protection,mystic,0,190,293,9,13
06167,Versatile (2),neutral,2,206,253,44,52
60217,Occult Invocation,seeker,0,149,283,14,22
02008,Search for the Truth,neutral,0,305,305,0,0
02009,Rex's Curse,neutral,0,305,305,0,0
60513,A Test of Will,survivor,0,165,297,5,7
01084,Lucky! (2),survivor,2,114,186,68,117
10023,Wolf Mask,guardian,0,198,289,9,14
03239,Emergency Cache (3),neutral,3,111,172,80,131
01057,Hot Streak (4),rogue,4,124,201,60,100
05117,Tennessee Sour Mash,rogue,0,175,280,12,20
01591,Overpower,neutral,0,156,292,4,7
09041,Empirical Hypothesis,seeker,0,173,281,13,18
60114,"""Get over here!""",guardian,0,163,292,4,6
03016,Bury Them Deep,neutral,0,298,298,0,0
03017,Graveyard Ghouls,neutral,0,298,298,0,0
06204,Sharp Vision (1),survivor,1,94,179,62,116
05156,Swift Reflexes,rogue,0,160,284,7,11
05281,Trial by Fire,survivor,0,154,287,4,7
08015,Burden of Destiny,neutral,0,115,269,14,25
03237,Waylay,survivor,0,171,280,8,12
04111,Perseverance,survivor,0,182,283,5,6
06110,First Watch,guardian,0,148,259,17,30
05034,Prophesy,mystic,0,154,286,1,2
